,,As-Suli,Abbasid Caliphate,c. 880,c. 946
Aagaard,Jacob,Jacob Aagaard,"Denmark,Scotland",1973,
Aaron,Manuel,Manuel Aaron,India,1935,
Abonyi,István,István Abonyi,Hungary,1886,1942
Abrahams,Gerald,Gerald Abrahams,England,1907,1980
Abrahamyan,Tatev,Tatev Abrahamyan,"Armenia,US",1988,
Acers,Jude,Jude Acers,US,1944,
Acs,Peter,Peter Acs,Hungary,1981,
Adams,Weaver,Weaver Adams,US,1901,1963
Adewumi,Tanitoluwa,Tanitoluwa Adewumi,"Nigeria,US",2010,
Adianto,Utut,Utut Adianto,Indonesia,1965,
Adorján,András,András Adorján,Hungary,1950,
Afromeev,Vladimir,Vladimir Afromeev,Russia,1954,
Agdestein,Simen,Simen Agdestein,Norway,1967,
Agrest,Evgeny,Evgeny Agrest,"Belarus,Sweden",1966,
Agzamov,Georgy,Georgy Agzamov,Uzbekistan,1954,1986
Ahues,Carl,Carl Ahues,Germany,1883,1968
Aitken,James Macrae,James Macrae Aitken,Scotland,1908,1983
Akhsharumova,Anna,Anna Akhsharumova,"Russia,US",1957,
Akopian,Vladimir,Vladimir Akopian,Armenia,1971,
Al-Modiahki,Mohamad,Mohamad Al-Modiahki,Qatar,1974,
Alapin,Simon,Simon Alapin,Lithuania,1856,1923
Alatortsev,Vladimir,Vladimir Alatortsev,Russia,1909,1987
Albin,Adolf,Adolf Albin,Romania,1848,1920
Alburt,Lev,Lev Alburt,"Russia,US",1945,
Alekhine,Alexei,Alexei Alekhine,Russia,1888,1939
Alekhine,Grace,Grace Alekhine,"US,England,France",1876,1956
Alekhine,Alexander,Alexander Alekhine,"Russia,France",1892,1946
Aleksandrov,Aleksej,Aleksej Aleksandrov,Belarus,1973,
Alekseev,Evgeny,Evgeny Alekseev,Russia,1985,
Alexander,Hugh,Hugh Alexander,England,1899,1974
Alexandre,Aaron,Aaron Alexandre,"Germany,France,England",1765,1850
Alexandria,Nana,Nana Alexandria,Georgia,1949,
Allgaier,Johann Baptist,Johann Baptist Allgaier,"Germany,Austria",1763,1823
Almási,Zoltán,Zoltán Almási,Hungary,1976,
Aloni,Yoel,Yoel Aloni,Israel,1937,
Aloni,Izak,Izak Aloni,"Poland,Israel",1905,1985
Alterman,Boris,Boris Alterman,Israel,1970,
Amelung,Friedrich,Friedrich Amelung,"Estonia,Latvia",1842,1909
Amin,Bassem,Bassem Amin,Egypt,1988,
Amonatov,Farrukh,Farrukh Amonatov,Tajikistan,1978,
Amos,Bruce,Bruce Amos,Canada,1946,
An,Yangfeng,An Yangfeng,China,1963,
Anand,Viswanathan,Viswanathan Anand,India,1969,
Andersen,Erik,Erik Andersen,Denmark,1904,1938
Anderson,Hope Arthurine,Hope Arthurine Anderson,Jamaica,1950,2016
Anderson,Frank,Frank Anderson,Canada,1928,1980
Anderssen,Adolf,Adolf Anderssen,Germany,1818,1879
Andersson,Ulf,Ulf Andersson,Sweden,1951,
Andreikin,Dmitry,Dmitry Andreikin,Russia,1990,
Andriasian,Zaven,Zaven Andriasian,Armenia,1989,
Antic,Dejan,Dejan Antic,Serbia,1968,
Antonio,Rogelio,Rogelio Antonio Jr.,Philippines,1962,
Antoshin,Vladimir,Vladimir Antoshin,Russia,1929,1994
Antze,Oskar,Oskar Antze,Germany,1878,
Apicella,Manuel,Manuel Apicella,France,1970,
Appel,Izaak,Izaak Appel,Poland,1905,1941
